chat_id_1,chat_id_2,similarity,date_diff
101,173,0.9528884694431077,4 days 04:30:10
101,173,0.9528884694431077,2 days 04:40:12
173,101,0.9528884694431077,1 days 11:49:53
101,173,0.9528884694431077,5 days 00:39:15
173,101,0.9528884694431077,2 days 18:59:45
173,101,0.9528884694431077,0 days 10:29:39
173,101,0.9528884694431077,4 days 05:14:38
173,101,0.9528884694431077,4 days 15:14:40
173,101,0.9528884694431077,1 days 15:14:38
173,101,0.9528884694431077,2 days 03:29:43
101,173,0.9528444203401827,3 days 17:40:53
173,101,0.9528444203401827,4 days 11:35:09
101,219,0.9528444203401827,0 days 05:14:38
173,101,0.9528444203401827,2 days 09:53:31
101,173,0.9528444203401827,5 days 07:46:35
173,101,0.9528444203401827,1 days 09:21:49
173,101,0.9528444203401827,5 days 07:06:18
173,101,0.9528444203401827,0 days 06:49:32
101,173,0.9528444203401827,3 days 09:13:42
101,173,0.9528444203401827,3 days 18:02:31
173,101,0.9528444203401827,3 days 17:22:14
101,219,0.9528444203401827,2 days 22:46:34
101,173,0.9528444203401827,2 days 22:54:31
173,101,0.9528444203401827,5 days 02:35:08
101,173,0.9528444203401827,0 days 05:22:35
173,101,0.9528444203401827,2 days 11:34:14
101,173,0.9528444203401827,5 days 07:41:47
101,173,0.9528444203401827,0 days 18:12:48
101,173,0.9528444203401827,5 days 21:54:35
101,219,0.9528444203401827,5 days 21:46:38
101,219,0.9528444203401827,3 days 17:54:34
101,173,0.9528444203401827,6 days 05:44:48
173,101,0.9528444203401827,6 days 02:14:18
101,173,0.9528444203401827,5 days 12:12:52
173,101,0.9528444203401827,5 days 18:15:08
173,101,0.9528444203401827,6 days 08:23:08
101,173,0.9528444203401827,4 days 23:56:52
101,173,0.9528444203401827,6 days 08:41:47
173,101,0.9528444203401827,4 days 10:02:15
101,173,0.9528444203401827,3 days 19:00:34
101,173,0.9528444203401827,2 days 16:40:53
101,173,0.9528444203401827,6 days 10:01:28
101,173,0.9528444203401827,1 days 19:48:40
101,219,0.9528444203401827,4 days 14:58:37
101,173,0.9528444203401827,4 days 10:49:34
219,101,0.9528444203401827,1 days 09:29:46
101,219,0.9528444203401827,5 days 07:38:38
101,219,0.9528444203401827,6 days 13:26:38
219,101,0.9528444203401827,2 days 10:01:28
101,219,0.9528444203401827,1 days 07:22:29
101,173,0.9528444203401827,4 days 15:06:34
173,101,0.9528444203401827,1 days 20:34:15
101,173,0.9528444203401827,1 days 07:30:26
173,101,0.9528444203401827,3 days 03:14:14
101,173,0.9528444203401827,6 days 13:34:35
219,101,0.9528444203401827,0 days 06:57:29
181,173,0.951895747787491,0 days 00:00:39
1730,1934,0.9505137262237742,0 days 21:50:23
1730,1934,0.9497946194293392,2 days 10:40:36
1934,1730,0.9497946194293392,2 days 10:40:19
1934,1730,0.948750971292109,2 days 01:30:12
1934,1730,0.9487116874994447,5 days 12:09:53
1730,1934,0.9487116874994447,5 days 12:10:27
3389,177,0.9481361060945616,0 days 20:24:15
1934,1730,0.9472979603692797,3 days 03:47:15
1730,1934,0.9456714506545661,3 days 01:29:59
1934,1730,0.9456714506545661,3 days 01:29:26
177,3389,0.9456070078155859,2 days 00:22:55
1730,1934,0.9451384544060006,2 days 09:10:14
3389,177,0.9447920167868591,6 days 09:43:59
3389,177,0.9447920167868591,6 days 00:19:58
181,173,0.9441762696956085,0 days 02:04:24
1934,1730,0.9431372693995846,0 days 21:51:50
177,3389,0.9431019897097254,0 days 00:11:07
173,181,0.9425326381901353,0 days 00:03:40
114,173,0.942044325481806,0 days 03:25:22
3389,177,0.9416219400652781,5 days 02:00:22
177,3389,0.9416087341752548,4 days 17:17:53
219,173,0.9414350853554022,0 days 00:07:22
219,173,0.9414350853554022,0 days 00:14:06
173,219,0.9412723273529119,0 days 00:51:16
177,3389,0.940919458487254,2 days 21:10:05
177,3389,0.940919458487254,2 days 21:08:15
177,3389,0.940919458487254,2 days 22:26:13
177,3389,0.940919458487254,2 days 21:06:15
177,3389,0.9407371795995552,6 days 22:50:27
3389,177,0.9405505649805337,2 days 22:23:21
173,114,0.94040440528617,1 days 05:34:40
173,114,0.94040440528617,1 days 05:34:27
114,173,0.94040440528617,5 days 22:25:18
173,181,0.9402709477186648,0 days 02:09:07
181,173,0.9402709477186648,0 days 02:04:49
114,173,0.9400322958713577,2 days 18:54:50
219,173,0.9400322958713577,0 days 10:04:31
173,219,0.9400322958713577,6 days 21:02:09
173,114,0.9397153433616284,1 days 20:34:00
173,181,0.9395819835824022,2 days 09:01:13
181,173,0.9395819835824022,4 days 02:00:18
1751,1735,0.9394034951256648,1 days 04:29:54
173,219,0.9391649056580977,0 days 00:45:07
114,173,0.939158049173053,0 days 03:25:40
1730,1934,0.9384671305388752,0 days 21:59:48
3389,177,0.9383950299348895,0 days 03:18:55
3389,177,0.9383764872957028,2 days 01:23:14
1730,1934,0.9381595729644927,2 days 22:49:43
1934,1730,0.9381595729644927,2 days 22:49:23
177,3389,0.9381440835137396,2 days 00:33:23
114,173,0.9381071493434593,1 days 04:54:58
219,173,0.9381071493434593,0 days 11:58:39
181,173,0.9379463498562027,3 days 23:52:14
173,114,0.9379463498562027,1 days 13:09:39
173,181,0.9379463498562027,2 days 11:09:17
173,219,0.9379276504923565,6 days 21:02:44
219,173,0.9379276504923565,0 days 10:03:56
173,219,0.9377654988652826,6 days 22:01:22
219,173,0.9377654988652826,0 days 09:05:18
1730,1934,0.9377367358913814,1 days 12:39:17
173,219,0.9374612676679004,5 days 21:59:23
182,206,0.9374261676153254,5 days 05:21:22
182,206,0.9374261676153254,1 days 13:51:48
173,114,0.9372231425227907,5 days 22:32:03
173,114,0.9370886687300716,4 days 11:05:01
3389,177,0.9364531948995604,3 days 00:47:10
1730,1934,0.9362675598966664,2 days 09:36:41
1934,1730,0.9362675598966664,2 days 09:36:27
114,173,0.9362379010553956,1 days 12:56:53
